"geolocation_zip_code_prefix","geolocation_lat","geolocation_lng","geolocation_city","geolocation_state"
1037,-23.545621281152677,-46.63929204800168,"sao paulo","SP"
1046,-23.54608112703553,-46.64482029837157,"sao paulo","SP"
1041,-23.544392164868107,-46.63949930627844,"sao paulo","SP"
1035,-23.54157796171149,-46.641607223296134,"sao paulo","SP"
1012,-23.547762303364266,-46.635360537884466,"são paulo","SP"
1047,-23.54627311241268,-46.64122516971552,"sao paulo","SP"
1013,-23.54692320843673,-46.6342636964915,"sao paulo","SP"
1029,-23.54376905576913,-46.63427784085132,"sao paulo","SP"
1011,-23.54763955032063,-46.63603162315496,"sao paulo","SP"
1032,-23.53841810407414,-46.63477837526674,"sao paulo","SP"
1014,-23.546435343326202,-46.633830233971956,"sao paulo","SP"
1039,-23.54188300998332,-46.63991946670314,"sao paulo","SP"
1024,-23.54138952105393,-46.62989908781218,"são paulo","SP"
1009,-23.54693540437998,-46.636587926596974,"sao paulo","SP"
1020,-23.552235471002327,-46.6284406588955,"são paulo","SP"
1043,-23.546656718016013,-46.64078762115524,"são paulo","SP"
1050,-23.549773516504178,-46.645599006665094,"sao paulo","SP"
1045,-23.541593762969626,-46.64189378810082,"sao paulo","SP"
1007,-23.550392524842728,-46.63730164071784,"sao paulo","SP"
1005,-23.54981909186911,-46.63560588995324,"sao paulo","SP"
1017,-23.550010911997372,-46.631166369149895,"são paulo","SP"
1019,-23.552151883432387,-46.63080224715792,"sao paulo","SP"
1027,-23.538301166801343,-46.63076391104507,"sao paulo","SP"
1033,-23.540321304749252,-46.63639481597333,"sao paulo","SP"
1006,-23.55052430835593,-46.63669363835193,"sao paulo","SP"
1034,-23.54239162719593,-46.637709277851826,"sao paulo","SP"
1042,-23.54487359810152,-46.64030309449483,"sao paulo","SP"
1040,-23.54031675742971,-46.63735536871718,"sao paulo","SP"
1026,-23.53949479958629,-46.63284391414975,"são paulo","SP"
1036,-23.541700023861786,-46.641317820560964,"sao paulo","SP"
1048,-23.547448918662468,-46.640169240637036,"são paulo","SP"
1002,-23.54831797807146,-46.63542110199666,"sao paulo","SP"
1031,-23.536864121011014,-46.63349313820771,"sao paulo","SP"
1022,-23.54498660505508,-46.63345367485142,"sao paulo","SP"
1008,-23.544254931545357,-46.634639135589296,"sao paulo","SP"
1010,-23.547806958346342,-46.63612181853807,"sao paulo","SP"
1003,-23.54903244546711,-46.635313112268456,"sao paulo","SP"
1001,-23.54929199999999,-46.633559478233785,"sao paulo","SP"
1015,-23.54482634612977,-46.63086956396899,"sao paulo","SP"
1038,-23.54267967629909,-46.63819683884986,"sao paulo","SP"
1016,-23.54849512877264,-46.63349062767613,"sao paulo","SP"
1049,-23.54530659310986,-46.63699457106574,"sao paulo","SP"
1021,-23.54516769470249,-46.632248679583284,"sao paulo","SP"
1018,-23.55021864776333,-46.631879999999995,"sao paulo","SP"
1044,-23.545751050233733,-46.64132693574358,"sao paulo","SP"
1030,-23.538363904524203,-46.63293009824575,"são paulo","SP"
1025,-23.53992093654793,-46.628347928793204,"sao paulo","SP"
1004,-23.55011590313923,-46.63512161420169,"sao paulo","SP"
1023,-23.542602956979646,-46.630942836257105,"sao paulo","SP"
1028,-23.53602774937961,-46.6328785335853,"sao paulo","SP"
1155,-23.528788082434048,-46.66440420330082,"sao paulo","SP"
1122,-23.53128076770148,-46.63726039148246,"são paulo","SP"
1150,-23.532255303364266,-46.66275607146977,"sao paulo","SP"
1123,-23.529307180131546,-46.634905263517894,"sao paulo","SP"
1139,-23.52076037607479,-46.6613841382077,"sao paulo","SP"
1153,-23.52811869885744,-46.65645154579032,"são paulo","SP"
1104,-23.535218462115523,-46.624612233135224,"sao paulo","SP"
1136,-23.52350959838998,-46.666944167638064,"são paulo","SP"
1130,-23.52663823480868,-46.64380970358928,"sao paulo","SP"
1103,-23.53538864556528,-46.63174770843675,"são paulo","SP"
1156,-23.529827273933893,-46.66466605744709,"são paulo","SP"
1151,-23.527788191788307,-46.660309621847716,"sao paulo","SP"
1140,-23.517930174303164,-46.66742959008009,"sao paulo","SP"
1120,-23.53076048626577,-46.639216010416,"sao paulo","SP"
1106,-23.532496356079488,-46.62640566388715,"sao paulo","SP"
1124,-23.527367392723217,-46.63188348903572,"sao paulo","SP"
1131,-23.52164183207347,-46.64747554830047,"sao paulo","SP"
1121,-23.52458847737897,-46.63439214155458,"sao paulo","SP"
1141,-23.520119196779962,-46.66584000098096,"são paulo","SP"
1125,-23.529050497085805,-46.63889432139766,"sao paulo","SP"
1102,-23.522610216486807,-46.62942387523807,"são paulo","SP"
1127,-23.527735040250413,-46.644800160280454,"sao paulo","SP"
1137,-23.51957274271452,-46.654271565497176,"são paulo","SP"
1135,-23.521221031363613,-46.652962934502824,"sao paulo","SP"
1138,-23.5188254074384,-46.655623598245754,"sao paulo","SP"
